"Year";"Type";"Area";"Activity";"Sex ";"Age";"Injury";"Fatal (Y/N)";"Species "
"2004";"Watercraft";"KwaZulu-Natal";"Surf skiing";"M";;"No injury to occupants, stern of ski bitten";"N";"Mako shark, 3 m to 4 m [10' to 13'] "
"2004";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"22";"Foot lacerated";"N";"Raggedtooth shark"
"2003";"Watercraft";"KwaZulu-Natal";;;;"No injury to occupants";"N";"Shortfin mako shark"
"2003";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"21";"Presumed FATAL, severed hand recovered";"Y";"Tiger shark, 4 m [13']  ?"
"2003";"Unprovoked";"KwaZulu-Natal";"Surf skiing";;;"No injury to occupants, hull of ski bitten";"N";"White shark"
"2003";"Watercraft";"Western Cape Province";"Fishing ";;"36 & 26";"No injury to occupants, shark bit boat";"N";"2 m cow shark"
"2003";"Unprovoked";"Western Cape Province";"Body boarding";"M";"19";"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ";"Y";"White shark"
"2003";"Unprovoked";"Eastern Cape Province";"Sitting on surfboard";"M";"16";"No injury, wetsuit torn & board bitten";"N";"3.5 m [11.5'] white shark"
"2003";"Invalid";"Western Cape Province";"Unknown";"M";"14";"Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th";;"Shark involvement prior to death was not confirmed"
"2002";"Unprovoked";"Western Cape Province";"Snorkeling";"M";"25";"Forearms lacerated";"N";"White shark, 4 m white shark"
"2002";"Unprovoked";"Western Cape Province";"Surf skiing";"M";"47";"No injury";"N";"White shark"
"2002";"Unprovoked";"KwaZulu-Natal between Port Edward and Port St Johns";"Snorkeling (filming the sardine run)";"M";"50";"Upper arm bitten";"N";"1.5 to 2.5 m [5' to 8.25'] copper shark"
"2002";"Unprovoked";"KwaZulu-Natal";"Fishing";"M";"16";"Leg bitten & surgically amputated";"N";"Zambesi shark?"
"2002";"Unprovoked";"KwaZulu-Natal";"Surf skiing";"M";"26";"Foot & calf bitten";"N";"Unidentified"
"2001";"Unprovoked";"KwaZulu-Natal";"Kite-Boarding";"M";;"No injury";"N";"Mako shark, 2 m [6.75'] "
"2001";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"26";"Leg bitten";"N";"White shark, 2.7 m to 3 m [9' to 10'] "
"2001";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"46";"Thigh, hip & buttock bitten";"N";"White shark, 2.7 m [9'] "
"2000";"Unprovoked";"Western Cape Province";"Free diving";"M";"48";"Swim fin bitten";"N";"White shark, 3.5 m [11.5']  male "
"2000";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"15";"Hand lacerated";"N";
"2000";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"18";"No injury, flung off board";"N";
"2000";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";;"No Injury";"N";
"2000";"Unprovoked";"Western Cape Province";"Body surfing";"M";;"Foot bitten";"N";"White shark, 2.5 m "
"1999";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";"35";"Lower legs lacerated";"N";"White shark, 3 m [10'] "
"1999";"Unprovoked";"Western Cape Province";"Surfing";"M";"42";"Right thigh bitten";"N";"White shark, 3 m to 5 m [10' to 16.5'] "
"1999";"Unprovoked";"Western Cape Province";"Boogie boarding";"M";"14";"FATAL";"Y";"White shark"
"1999";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"29";"Leg & board bitten";"N";"White shark, 4 m [13'] "
"1999";"Unprovoked";"Eastern Cape Province";"Paddle Skiing";"M";;"No Injury, ski bitten";"N";"White shark, 4 m [13'] "
"1999";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"30";"Heel lacerated";"N";"White shark, 4.6 m [15'] "
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"18";"Leg bitten";"N";"Possibly a white shark"
"1998";"Unprovoked";"Eastern Cape Province";"Splashing";"M";"14";"Right leg bitten";"N";
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"30";"No injury, surfboard bitten";"N";
"1998";"Unprovoked";"Eastern Cape Province";"Fishing / washing bait off hands";"M";;"Laceration to right foot";"N";
"1998";"Provoked";"Transvaal";"Moving a shark in a net ";"M";;"Lacerations to right shin  PROVOKED INCIDENT";"N";"Sandtiger shark, 2 m, male "
"1998";"Unprovoked";"Western Cape Province";"Surfing (or body boarding)";"M";"19";"Legs bitten";"N";"White shark, 4 m [13'] "
"1998";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"24";"Leg bitten";"N";"White shark, 4.9 m [16']"
"1998";"Unprovoked";"Western Cape Province";"Wading";"M";"47";"Right leg bitten";"N";"Raggedtooth shark, 1.2 m [4'] "
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"16";"Knee bitten";"N";"5' to 6' shark"
"1998";"Unprovoked";"Western Cape Province";"Surfing";"M";"10";"Right leg bitten";"N";"Raggedtooth shark, 1.2 m [4'] "
"1998";"Unprovoked";"Eastern Cape Province";"Body Boarding";"M";"20";"FATAL, hands & calf bitten  ";"Y";"White shark"
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"Survived";"N";
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"17";"Minor laceration on foot";"N";
"1998";"Unprovoked";"Eastern Cape Province";"Body boarding";"M";"15";"Right shoulder & arm bitten";"N";"3 m to 4 m [10' to 13'] white shark"
"1998";"Unprovoked";"Eastern Cape Province";"Body boarding";"M";"16";"Leg bitten";"N";"Unidentified"
"1998";"Unprovoked";"Western Cape Province";"Body boarding";"M";"22";"Lower legs bitten, foot severed";"N";"4 m [13'] white shark"
"1998";"Unprovoked";"Western Cape Province";"Snorkeling – hunting crayfish and abalone";"M";"33";"Lower leg lacerated";"N";"3 m [10'] white shark"
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"21";"Calf & foot lacerated";"N";
"1998";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"28";"FATAL";"Y";
"1997";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"39";"FATAL";"Y";"White shark"
"1997";"Unprovoked";"Eastern Cape Province";"Sitting on surfboard";"M";;"Calf bitten";"N";
"1997";"Watercraft";"Eastern Cape Province";"Fishingat";;;"No injury, hooked shark bit their 4.8 m inflatable boat";"N";"Soupfin shark"
"1997";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"25";"FATAL";"Y";"4.5 m white shark"
"1996";"Unprovoked";"Eastern Cape Province";"Surfing";"M";;"Elbow bitten";"N";"White shark"
"1996";"Provoked";"KwaZulu-Natal";"Spearfishing";"M";"29";"No injury  PROVOKED INCIDENT";"N";"White shark"
"1996";"Unprovoked";"KwaZulu-Natal";"Surfing";"M";;"Survived";"N";
"1996";"Unprovoked";"Western Cape Province";"Surfing";"M";"17";"Leg bitten";"N";"2.5 m [8.25'] white shark "
"1984";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"14";"Wetsuit lacerated";"N";
"1995";"Unprovoked";"Eastern Cape Province";"Swimming";"M";"22";"Lacerations to lower leg & foot";"N";"Raggedtooth shark"
"1995";"Unprovoked";"KwaZulu-Natal";"Swimming";"M";"14";"FATAL, right thigh bitten & femur exposed, shallow lacerations on right calf & left thigh & fingers lacerated ";"Y";"Tiger shark, 1.8 m [6'] "
"1995";"Invalid";;"Diving";"M";"33";"Reportedly lost lower right leg as result of shark bite";;"Shark involvement not confirmed"
"1994";"Unprovoked";"Western Cape Province";"Body boarding";"M";"26";"No injury, board bitten";"N";"5.5 m [18'] white shark"
"1994";"Unprovoked";"Western Cape Province";"Spearfishing";"M";;"No injury";"N";"Raggedtooth shark, 2.7 m [9'] "
"1994";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"22";"FATAL, leg severed ";"Y";"4 m [13'] white shark"
"1994";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"31";"Buttock & leg bitten";"N";"4 m [13'] white shark"
"1994";"Unprovoked";"Western Cape Province";"Spearfishing";"M";;"FATAL  ";"Y";"4.9 m white shark"
"1994";"Unprovoked";"Western Cape Province";"Spearfishing";"M";;"Swim fin bitten";"N";"3 m [10'] shark"
"1994";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"15";"Leg bitten ";"N";"3 m [10'] white shark"
"1994";"Unprovoked";"Eastern Cape Province";"Windsurfing";"M";"44";"Calf bitten";"N";
"1994";"Unprovoked";"KwaZulu-Natal";"Swimming ";"M";"33";"Foot bitten";"N";"1.3 m [4'3""] shark"
"1993";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"36";"Calf lacerated";"N";"3 m [10'] white shark"
"1993";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"28";"Puncture wounds on chest";"N";"4 m [13'] white shark"
"1992";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"35";"Punctures & lacerations on lower leg";"N";">2 m shark"
"1992";"Unprovoked";"KwaZulu-Natal";"Swimming ";"M";"19";"Right foot lacerated";"N";"Zambesi shark, 1.7 m [5.5'] "
"1992";"Unprovoked";"KwaZulu-Natal";"Spearfishing";"M";"36";"Left cheek lacerated";"N";"Possibly a 1.5 m [5'] blacktip shark"
"1991";"Unprovoked";"Western Cape Province";"Scuba diving";"M";;"No injury, tank scratched by shark";"N";"3.5 m [11.5'] female white shark named ""Notchfin"""
"1991";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"20";"Foot & swim fin bitten";"N";"5.5 m [18'] white shark"
"1990";"Invalid";"Eastern Cape Province";;"M";;"Survived";;"Questionable incident"
"1990";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"26";"Right hand lacerated";"N";"5 m  [16.5'] white shark"
"1990";"Unprovoked";"Western Cape Province";"Scuba diving (but on surface)";"F";"21";"FATAL, thigh bitten  ";"Y";"4.5 m [14'9""] white shark"
"1990";"Provoked";"KwaZulu-Natal";"Fishing";;;"No injury to occupants, hooked shark freed itself, then rammed stern of boat PROVOKED INCIDENT";"N";"6 m, 600-kg shark"
"1990";"Unprovoked";"Eastern Cape Province";"Resting on surfboard";"M";"22";"Thigh severely lacerated";"N";"5.5 m [18'] white shark, identified by witnesses & tooth marks"
"1990";"Unprovoked";"Eastern Cape Province";"Lying on surfboard & paddling";"M";"23";"Leg bitten";"N";"2.3 m [7.5'] white shark, identified by M. Smale"
"1989";"Unprovoked";"Western Cape Province";"Free diving & spearfishing";"M";"29";"FATAL";"Y";"White shark"
"1989";"Unprovoked";"Western Cape Province";"Free diving";"M";"29";"Chest lacerated";"N";"White shark, identified by tooth pattern"
"1989";"Unprovoked";"Western Cape Province";"Surfing";"M";"21";"Multiple Injuries";"N";">3.4 m [11'] white shark"
"1989";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"34";"Torso bitten";"N";"2.5 m [8.25'] white shark"
"1989";"Unprovoked";"Eastern Cape Province";"Surfing";"M";"16";"No injury, board bitten";"N";"3 m [10'] white shark"
"1989";"Unprovoked";"Eastern Cape Province";"Free diving";"M";"28";"Forearm bitten";"N";"2.5 m [8.25'] white shark"
"1989";"Provoked";"Western Cape Province";"Fishing";"M";;"Thigh lacerated & abraded  PROVOKED INCIDENT";"N";"3 m [10'] gaffed shark"
"1989";"Unprovoked";"KwaZulu-Natal";"Windsurfing";"M";"26";"Foot bruised & minor lacerations";"N";
"1989";"Unprovoked";"KwaZulu-Natal";"Lifesaving drill";"M";"19";"Thigh bitten";"N";
"1988";"Unprovoked";"Western Cape Province";"Spearfishing";"M";"36";"Left arm lacerated";"N";"White shark"
"1988";"Invalid";"KwaZulu-Natal";;"F";;"Arm washed ashore. scratch marks on the humerus indicated it had been bitten by a shark, but cause of death could not be determined.";;"Shark involvement prior to death was not confirmed"
